# 1:time 2:hplus 3:hcross
1.2673925951e-02 1.1841531822e-04 -1.0457333933e-05
1.2683183716e-02 -5.5117753867e-05 -1.2861191349e-05
1.2692456877e-02 -2.4958822219e-04 -1.4976281921e-05
1.2701718185e-02 -4.5906991910e-04 -1.7292269146e-05
1.2710971799e-02 -6.8317430920e-04 -1.9651120592e-05
1.2720225347e-02 -9.1390430916e-04 -2.1766178980e-05
1.2729478267e-02 -1.1499459858e-03 -2.4352909087e-05
1.2738732081e-02 -1.4224786271e-03 -2.6164090039e-05
1.2747986882e-02 -1.7599324573e-03 -2.7202446886e-05
1.2757239482e-02 -2.1515908042e-03 -2.9366483135e-05
1.2766492005e-02 -2.5717122798e-03 -3.1103703431e-05
1.2775746166e-02 -3.0069585430e-03 -3.1502945974e-05
1.2785000664e-02 -3.4582338976e-03 -3.3032236568e-05
1.2794254910e-02 -3.9161783084e-03 -3.3816731567e-05
1.2803510125e-02 -4.3461491046e-03 -3.3601730460e-05
1.2812765484e-02 -4.7147784169e-03 -3.3847515853e-05
1.2822018250e-02 -5.0116112372e-03 -3.3798542419e-05
1.2831270892e-02 -5.2341895020e-03 -3.3392011404e-05
1.2840526968e-02 -5.3707362765e-03 -3.2060682286e-05
1.2849779041e-02 -5.4183180371e-03 -3.1328997119e-05
1.2859032793e-02 -5.3895185767e-03 -3.0579300601e-05
1.2868287021e-02 -5.2951787349e-03 -2.9263958048e-05
1.2877540509e-02 -5.1447562595e-03 -2.7946703271e-05
1.2886794323e-02 -4.9341725318e-03 -2.6373399660e-05
1.2896051083e-02 -4.6616830211e-03 -2.4334128155e-05
1.2905308777e-02 -4.3661811804e-03 -2.2837499769e-05
1.2914567547e-02 -4.0689542303e-03 -2.1477019680e-05
1.2923824481e-02 -3.7517150840e-03 -1.9998189260e-05
1.2933079352e-02 -3.4291478246e-03 -1.9317946605e-05
1.2942342964e-02 -3.1271507466e-03 -1.8045842288e-05
1.2951602215e-02 -2.8362249416e-03 -1.6346359475e-05
1.2960865659e-02 -2.5342458395e-03 -1.4944037622e-05
1.2970134595e-02 -2.2315729909e-03 -1.4396324329e-05
1.2979389792e-02 -1.9554486900e-03 -1.3474464867e-05
1.2988646752e-02 -1.7086644140e-03 -1.2048492824e-05
1.2997903630e-02 -1.4880764147e-03 -1.1545501042e-05
1.3006479984e-02 -1.2691667388e-03 -1.1031443946e-05
1.3015735354e-02 -1.0770874180e-03 -9.6119020294e-06
1.3024989459e-02 -9.1397820917e-04 -7.5597753823e-06
1.3034244918e-02 -7.9084018620e-04 -5.6398052930e-06
1.3043499442e-02 -6.9452443256e-04 -4.3456166787e-06
1.3052755590e-02 -6.1109527769e-04 -3.7830675506e-06
1.3062012692e-02 -5.4504738576e-04 -3.6158464108e-06
1.3071273377e-02 -5.1296947672e-04 -3.6641662108e-06
1.3080537802e-02 -5.1637078656e-04 -3.7349508252e-06
1.3089803164e-02 -5.4037734298e-04 -3.9742238719e-06
1.3099076714e-02 -5.7703506292e-04 -3.8311067526e-06
1.3108338492e-02 -6.2798765959e-04 -2.6897868459e-06
1.3117597476e-02 -6.9439979565e-04 -1.3780720915e-06
1.3126854039e-02 -7.6768387176e-04 -1.3602328611e-06
1.3136108859e-02 -8.2795068678e-04 -1.1393762148e-06
1.3145361567e-02 -8.6625853354e-04 -1.0770272907e-06
1.3154620173e-02 -8.9122539431e-04 -1.5099253577e-06
1.3163877586e-02 -9.1344074947e-04 -7.9243890900e-07
1.3173133469e-02 -9.3323447081e-04 7.9896864190e-07
1.3182390502e-02 -9.4729992576e-04 1.9753104691e-06
1.3191646808e-02 -9.5877472494e-04 2.6912162626e-06
1.3200901985e-02 -9.7435832911e-04 3.7154747620e-06
1.3210161200e-02 -9.9472102205e-04 4.0189678583e-06
1.3219423303e-02 -1.0125054227e-03 4.3267414498e-06
1.3228689685e-02 -1.0222197836e-03 4.7236365786e-06
1.3237944290e-02 -1.0269761802e-03 5.3330427599e-06
1.3247199948e-02 -1.0300560915e-03 6.9866140476e-06
1.3256453143e-02 -1.0345314116e-03 7.8177561057e-06
1.3265707000e-02 -1.0497383904e-03 8.3830697892e-06
1.3274961222e-02 -1.0802519896e-03 1.0014639422e-05
1.3284213956e-02 -1.1264715297e-03 1.0682042521e-05
1.3293468319e-02 -1.1935706444e-03 1.2179575463e-05
1.3302723163e-02 -1.2831073977e-03 1.3934544680e-05
1.3311978368e-02 -1.3955997549e-03 1.4562839174e-05
1.3321235359e-02 -1.5348717602e-03 1.5898994578e-05
1.3330496447e-02 -1.6967805099e-03 1.7838533364e-05
1.3339754033e-02 -1.8728485540e-03 1.9543146294e-05
1.3349016008e-02 -2.0603543686e-03 2.1239976956e-05
1.3358278690e-02 -2.2639822646e-03 2.2186440577e-05
1.3367535465e-02 -2.4867365554e-03 2.3057673266e-05
1.3376795467e-02 -2.7272358314e-03 2.4817053806e-05
1.3386051106e-02 -2.8854606027e-03 2.6182785914e-05
1.3395309687e-02 -3.0684675747e-03 2.6062094976e-05
1.3404564479e-02 -3.4074205186e-03 2.6465258408e-05
1.3413819465e-02 -3.6953564232e-03 2.7636465108e-05
1.3423084686e-02 -3.8787586906e-03 2.7820697421e-05
1.3432346758e-02 -4.0208760088e-03 2.8075672492e-05
1.3441601987e-02 -4.1020848229e-03 2.7980047326e-05
1.3450857692e-02 -4.1214315419e-03 2.8360056283e-05
1.3460114649e-02 -4.0849927072e-03 2.8309411463e-05
1.3469369189e-02 -4.0022351670e-03 2.6510174547e-05
1.3478623643e-02 -3.8884631413e-03 2.5865244296e-05
1.3487876109e-02 -3.7512198679e-03 2.5830026648e-05
1.3497129581e-02 -3.5917677246e-03 2.4460052364e-05
1.3506384654e-02 -3.4157842323e-03 2.3582297622e-05
1.3515640532e-02 -3.2279233952e-03 2.2984322042e-05
1.3524896507e-02 -3.0306849343e-03 2.2212388763e-05
1.3534151383e-02 -2.8263354239e-03 2.1141588553e-05
1.3543406684e-02 -2.6257399139e-03 1.9782412162e-05
1.3552665306e-02 -2.4372337626e-03 1.8202107873e-05
1.3561922748e-02 -2.2447591256e-03 1.6819260625e-05
1.3571179478e-02 -2.0382645632e-03 1.5388909690e-05
1.3580437112e-02 -1.8336538539e-03 1.3469920684e-05
1.3589694812e-02 -1.6509878199e-03 1.1684847189e-05
1.3598952747e-02 -1.4926573831e-03 9.1414609996e-06
1.3608211844e-02 -1.3499110954e-03 6.1790800604e-06
1.3617466675e-02 -1.2201444087e-03 3.2473992219e-06
1.3626723382e-02 -1.1084549819e-03 8.6020350418e-08
1.3635984076e-02 -1.0168491058e-03 -3.8857203234e-06
1.3645241777e-02 -9.4274738615e-04 -7.0635662148e-06
1.3654496822e-02 -8.8462487251e-04 -1.0238883569e-05
1.3663753024e-02 -8.4515428110e-04 -1.5459067652e-05
1.3673013644e-02 -8.2219617808e-04 -1.8855052704e-05
1.3682268305e-02 -8.0846697971e-04 -2.2167160575e-05
1.3691523707e-02 -8.0320385473e-04 -2.7260331729e-05
1.3700786790e-02 -8.0873580569e-04 -2.9985312612e-05
1.3710054264e-02 -8.2689842715e-04 -3.2517801043e-05
1.3719329361e-02 -8.5978976848e-04 -3.5332944697e-05
1.3728592675e-02 -8.8675911101e-04 -3.6912161708e-05
1.3737851947e-02 -8.9273867363e-04 -3.9751845672e-05
1.3747111616e-02 -8.8619878008e-04 -4.2120783193e-05
1.3756368935e-02 -8.8448855731e-04 -4.2646160660e-05
1.3765640244e-02 -8.8089439260e-04 -4.3867481833e-05
1.3774911255e-02 -8.6030001424e-04 -4.4658545757e-05
1.3784185288e-02 -8.3414244849e-04 -4.3385954439e-05
1.3793444638e-02 -8.0101898682e-04 -4.2234158260e-05
1.3802710992e-02 -7.6451430781e-04 -4.1293907399e-05
1.3811975180e-02 -7.2785350417e-04 -4.0539227665e-05
1.3821237157e-02 -6.8759642403e-04 -3.9132666174e-05
1.3830492120e-02 -6.4524790838e-04 -3.6385728776e-05
1.3839744773e-02 -6.0452942030e-04 -3.4125023488e-05
1.3849001392e-02 -5.6802602819e-04 -3.1001763094e-05
1.3858263078e-02 -5.3744278830e-04 -2.7876787298e-05
1.3867526448e-02 -5.2052428634e-04 -2.4467897206e-05
1.3876787655e-02 -5.2378948713e-04 -2.0296665004e-05
1.3886045493e-02 -5.4693272329e-04 -1.6131543878e-05
1.3895301606e-02 -5.8529669582e-04 -1.1565596624e-05
1.3904557820e-02 -6.4312088959e-04 -6.9552845033e-06
1.3913815349e-02 -7.2337901198e-04 -2.4787405427e-06
1.3923071291e-02 -8.2282866823e-04 1.5558688653e-06
1.3932325753e-02 -9.3967954758e-04 7.3149628503e-06
1.3941577509e-02 -1.0729773281e-03 1.2884340305e-05
1.3950831725e-02 -1.2281264335e-03 1.8245378690e-05
1.3960085840e-02 -1.4142562065e-03 2.3472041936e-05
1.3969341489e-02 -1.6350272669e-03 2.8144769063e-05
1.3978596275e-02 -1.8889014469e-03 3.3272047653e-05
1.3987852586e-02 -2.1737982954e-03 3.7420827592e-05
1.3997109189e-02 -2.4715641020e-03 4.0964348373e-05
1.4005553178e-02 -2.7957073390e-03 4.2930997507e-05
1.4014806761e-02 -3.0957675391e-03 4.6449330727e-05
1.4024063691e-02 -3.3818199014e-03 4.9530339038e-05
1.4033320867e-02 -3.6305995459e-03 5.0210519039e-05
1.4042576012e-02 -3.8374916506e-03 5.1521757235e-05
1.4051830873e-02 -3.9964319766e-03 5.2256350815e-05
1.4061085736e-02 -4.0875213607e-03 5.3325336139e-05
1.4070342933e-02 -4.1014578117e-03 5.4092654992e-05
1.4079595761e-02 -4.1268743148e-03 5.4331951484e-05
1.4088854325e-02 -4.0531458791e-03 5.4311011719e-05
1.4098118258e-02 -3.8700875699e-03 5.2919030043e-05
1.4107377692e-02 -3.6992415188e-03 5.2014400963e-05
1.4116635005e-02 -3.5245304041e-03 5.1999054524e-05
